step,classical_loss,classical_perplexity,classical_step_time,hybrid_loss,hybrid_perplexity,hybrid_step_time
1,4.311872482299805,74.58000802101455,0.006249199999956545,4.334278583526611,76.26991666366543,0.5803469999999606
2,4.297965049743652,73.54997077831175,0.004749000000060732,4.2696309089660645,71.495242495812,0.51364030000002
3,4.25330114364624,70.33722279249956,0.004159299999969335,4.253756046295166,70.36922666023617,0.5470267999999123
4,4.240167140960693,69.41945370333757,0.004370800000060626,4.23276424407959,68.90744615386342,0.5551632000000382
5,4.1742777824401855,64.99288370497527,0.003912000000013904,4.228126049041748,68.5885800323167,0.6543386999999257
6,4.159317493438721,64.02780828472139,0.004036700000028759,4.205600738525391,67.06087161716329,0.5399688000001106
7,4.135274887084961,62.50677101315929,0.003973299999984192,4.167075157165527,64.5264461221687,0.6103659999999991
8,4.104373931884766,60.60478994114864,0.006982100000072933,4.146003723144531,63.181006324560244,0.5739034999999149
9,4.090248107910156,59.754715482701194,0.0038299000000279193,4.118124961853027,61.44392448328919,0.5206547000000228
10,4.068442344665527,58.465822027961174,0.0034451999999873806,4.073498249053955,58.762168151688556,0.5339749999999412
11,3.994333267211914,54.289631876749425,0.00438480000002528,4.103723049163818,60.565356165343125,0.5406643000000031
12,3.9964303970336914,54.403603747906146,0.004011999999988802,4.041640281677246,56.91963050249174,0.5186624000000393
13,3.954312562942505,52.15982502039894,0.0038864000000558008,4.006184101104736,54.93683666991467,0.49853079999991223
14,3.9349043369293213,51.15725586238577,0.003769899999952031,4.005077362060547,54.87606956067667,0.5153672999999799
15,3.8696861267089844,47.92734060763053,0.003927800000042225,3.9663867950439453,52.793432317219434,0.5541449000000966
16,3.873028516769409,48.087800484867074,0.003643500000066524,3.9119327068328857,49.995485274076756,0.5423449999999548
17,3.855320453643799,47.24375394889022,0.0036663999999291264,3.9503443241119385,51.95325251295345,0.5435622999999623
18,3.8900387287139893,48.91278081614854,0.0037352999999029635,3.881730079650879,48.50806533335103,0.5496001000000206
19,3.76607346534729,43.210065480632615,0.005225999999993292,3.8812148571014404,48.48307932149273,0.5858484000000317
20,3.7500669956207275,42.52393082177361,0.0037876999999753025,3.8156144618988037,45.40464723889248,0.546031800000037
21,3.721341609954834,41.31979198338794,0.003341999999975087,3.8540494441986084,47.18374483554841,0.5419380999999248
22,3.726039171218872,41.5143508559802,0.003467999999998028,3.796712636947632,44.55447674393738,0.524212299999931
23,3.7035861015319824,40.59261289004479,0.004094600000030368,3.76564621925354,43.191608092149664,0.5673607999999604
24,3.7024483680725098,40.546455578490225,0.0037452000000257613,3.7709929943084717,43.42316238760523,0.5615666999999576
25,3.6182427406311035,37.27201364590071,0.0037866999999778272,3.770528793334961,43.403009991094905,0.5621639999999388
26,3.582425117492676,35.96064397346374,0.00384919999999056,3.6825387477874756,39.74717414126462,0.5949828999999909
27,3.522714138031006,33.87624861591602,0.004412999999999556,3.675031900405884,39.44991530543824,0.5775689999999258
28,3.5665149688720703,35.39303215096235,0.003913699999998244,3.6124472618103027,37.05662921102568,0.5416331999999784
29,3.5765316486358643,35.74933432317419,0.0038288000000648026,3.6323580741882324,37.80185117039668,0.5553745999999364
30,3.526043653488159,33.98922808839195,0.003801800000019284,3.6032588481903076,36.717697083341434,0.5769129999999905
31,3.5103440284729004,33.45977692005353,0.003997000000026674,3.544172525405884,34.61103373856387,0.5377510000000711
32,3.451395273208618,31.544374638745285,0.003810199999975339,3.5751452445983887,35.69980564304585,0.6124019999999746
33,3.439335584640503,31.16624395646872,0.003780300000016723,3.5518062114715576,34.87625452269801,0.6048707999999579
34,3.397812604904175,29.89862835423797,0.0038847000000714615,3.4662890434265137,32.017705396392785,0.605318900000043
35,3.467700958251953,32.06294359804709,0.0034082000000807966,3.515108823776245,33.61958633519889,0.5925467999999228
36,3.4531266689300537,31.59903774210637,0.003318400000011934,3.4376001358032227,31.11220344047059,0.5999681000000692
37,3.393231153488159,29.761962543960276,0.003325199999949291,3.496896266937256,33.0128297738757,0.5635200000000395
38,3.4190056324005127,30.53903289322316,0.0031794999999874562,3.4927597045898438,32.87655219991428,0.5361321000000316
39,3.367222547531128,28.997874886662675,0.0038753999999698863,3.362482786178589,28.860757089486714,0.5306104999999661
40,3.344756841659546,28.35368039449557,0.003244999999992615,3.4523158073425293,31.573425681519936,0.565996000000041
41,3.4012391567230225,30.001253278003713,0.0032330999999885535,3.3464033603668213,28.400403714539806,0.5770463000000063
42,3.3351645469665527,28.083003816728084,0.0038299000000279193,3.411972761154175,30.325009289278572,0.5222602999999708
43,3.3051724433898926,27.25324082484675,0.004144199999927878,3.4125583171844482,30.342771481207787,0.5050532000000203
44,3.2948410511016846,26.97312638042479,0.0035549000000401065,3.369371175765991,29.060247523203362,0.5120127000000139
45,3.2885758876800537,26.8046636100976,0.0035629000000199085,3.4496946334838867,31.490774612228385,0.541558699999996
46,3.335972547531128,28.105704069340415,0.0036090999999487394,3.318648338317871,27.622988378754282,0.5149579999999787
47,3.2402374744415283,25.539786073696373,0.004716799999982868,3.2201995849609375,25.033115916246736,0.5047223999999915
48,3.262587070465088,26.117016379823713,0.004357000000027256,3.2978243827819824,27.053716316354016,0.5074061999999913
49,3.2262744903564453,25.1856525809897,0.0037384000000884043,3.2924861907958984,26.90968316506133,0.5791729999999689
50,3.309408187866211,27.3689234171228,0.0035396000000673666,3.2770793437957764,26.498267242947808,0.5661443999999847
